iter	RMSE
128	5.355532516
129	5.354523121
130	5.353619506
131	5.353173434
132	5.352300187
133	5.351972184
134	5.351284904
135	5.350715007
136	5.350422724
137	5.349568615
138	5.348833611
139	5.348261527
140	5.347607397
141	5.346731208
142	5.34609312
143	5.345861682
144	5.345172971
145	5.344691215
146	5.343758751
147	5.343072086
148	5.342327742
149	5.341672067
150	5.341142823
151	5.340609179
152	5.340057877
153	5.339130323
154	5.338587326
155	5.337554063
156	5.336740578
157	5.336221706
158	5.335629606
159	5.335070129
160	5.33467513
161	5.333934423
162	5.333608112
163	5.33324826
164	5.332891854
165	5.331909125
166	5.331517435
167	5.330758268
168	5.330325652
169	5.329514455
170	5.328725777
171	5.327893213
172	5.327078133
173	5.326485979
174	5.325920587
175	5.325203668
176	5.324623365
177	5.323702937
178	5.322949093
179	5.322428577
180	5.321857262
181	5.321397373
182	5.320656415
183	5.319972172
184	5.319429655
185	5.31873105
186	5.318459254
187	5.317648835
188	5.316872137
189	5.316662149
190	5.31611985
191	5.315323816
192	5.314876728
193	5.314191743
194	5.313913907
195	5.313413614
196	5.312712296
197	5.312113317
198	5.311324451
199	5.310823519
200	5.310573852
201	5.310025111
202	5.309387942
203	5.309116812
204	5.308377891
205	5.307550523
206	5.307009444
207	5.306670176
208	5.306438107
209	5.305829091
210	5.305218482
211	5.304861098
212	5.304350298
213	5.3038473
214	5.303661602
215	5.30308526
216	5.302374832
217	5.302011752
218	5.301579298
219	5.30156783
220	5.301384372
221	5.300998705
222	5.300378358
223	5.299881527
224	5.299424158
225	5.298886227
226	5.298128057
227	5.297860727
228	5.297321874
229	5.296655818
230	5.296466457
231	5.295926952
232	5.295376962
233	5.295176924
234	5.294902023
235	5.294315521
236	5.293773601
237	5.293010152
238	5.292379515
239	5.291491858
240	5.290875625
241	5.290398656
242	5.290073961
243	5.28971866
244	5.289066341
245	5.288551525
246	5.288137526
247	5.287753913
248	5.287147624
249	5.286926815
250	5.286147103
251	5.285495404
252	5.285290113
253	5.284893648
254	5.284382926
255	5.283850862
256	5.283284067
257	5.282869949
258	5.282404823
259	5.281726321
260	5.281223807
261	5.281040749
262	5.280533615
263	5.279798183
264	5.279618663
265	5.279022769
266	5.278380777
267	5.27823588
268	5.277719176
269	5.277338015
270	5.276923303
271	5.276191389
272	5.275465989
273	5.275320817
274	5.274926977
275	5.274409457
276	5.273972712
277	5.273898696
278	5.273642436
279	5.273235852
280	5.272856203
281	5.272480414
282	5.271966411
283	5.271435231
284	5.27101287
285	5.270445507
286	5.270035006
287	5.269536979
288	5.269155409
289	5.268956396
290	5.268332855
291	5.267708054
292	5.267260304
293	5.267194056
294	5.266843287
295	5.266705395
296	5.266178634
297	5.266000539
298	5.265574421
299	5.265156922
300	5.264645821
301	5.264175716
302	5.263718226
303	5.263401628
304	5.262775639
305	5.262735146
306	5.262467354
307	5.261956939
308	5.261658017
309	5.261279859
310	5.260901007
311	5.260353733
312	5.260325614
313	5.260181575
314	5.260116057
315	5.259578549
316	5.259203817
317	5.258657416
318	5.258336337
319	5.258010389
320	5.257619013
321	5.257087401
322	5.256569244
323	5.256234109
324	5.255892262
325	5.25564025
326	5.255194979
327	5.254814635
328	5.25447507
329	5.254106247
330	5.253729598
331	5.253155377
332	5.25281178
333	5.252729371
334	5.252137764
335	5.251651412
336	5.251234453
337	5.250850052
338	5.25047468
339	5.250316156
340	5.249915259
341	5.2495122
342	5.249505076
343	5.249373575
344	5.248718176
345	5.248470813
346	5.248008552
347	5.247790415
348	5.247411304
349	5.247089764
350	5.246625761
351	5.246188958
352	5.245853585
353	5.24545591
354	5.244988781
355	5.244844054
356	5.244375359
357	5.24425115
358	5.243868351
359	5.243395771
360	5.242972174
361	5.242703058
362	5.242570525
363	5.242440623
364	5.242034457
365	5.241647627
366	5.24135256
367	5.241347612
368	5.241098049
369	5.240312697
370	5.240268793
371	5.23971679
372	5.239662794
373	5.239454793
374	5.238772883
375	5.238600051
376	5.238160858
377	5.237636875
378	5.237179602
379	5.23682793
380	5.236536261
381	5.236392819
382	5.236195139
383	5.235597805
384	5.235179145
385	5.234658056
386	5.234217242
387	5.233896106
388	5.233638174
389	5.23347155
390	5.232900672
391	5.232457056
392	5.232035194
393	5.231890743
394	5.231587103
395	5.231383536
396	5.231309624
397	5.231034014
398	5.230757655
399	5.230424887
400	5.230049258
401	5.229646306
402	5.229420776
403	5.229058716
404	5.228542349
405	5.22853435
406	5.228038456
407	5.227611689
408	5.22753257
409	5.22719114
410	5.226963748
411	5.226909373
412	5.226615928
413	5.226250407
414	5.226093165
415	5.225908579
416	5.225585176
417	5.225408776
418	5.224879724
419	5.22458737
420	5.224096324
421	5.223611554
422	5.223420621
423	5.223137886
424	5.222626664
425	5.221955425
426	5.221791335
427	5.221318252
428	5.22099308
429	5.220420115
430	5.220276057
431	5.220266859
432	5.220221519
433	5.220077676
434	5.219770347
435	5.219487232
436	5.21933379
437	5.218923947
438	5.2184958
439	5.218314958
440	5.217858799
441	5.217659223
442	5.217279453
443	5.216916016
444	5.216627262
445	5.216266644
446	5.215841074
447	5.215790005
448	5.215703767
449	5.215339528
450	5.214883258
451	5.214609105
452	5.214282479
453	5.213742583
454	5.213485034
455	5.213335883
456	5.212896668
457	5.212504826
458	5.212080507
459	5.211936442
460	5.211929123
461	5.21175205
462	5.211612128
463	5.211398173
464	5.211140859
465	5.211096459
466	5.210572317
467	5.210376534
468	5.209977051
469	5.209869369
470	5.209668324
471	5.209326134
472	5.208994573
473	5.208988416
474	5.208803272
475	5.208543179
476	5.208131011
477	5.207896617
478	5.207560681
479	5.207364403
480	5.2072231
481	5.207142133
482	5.207011418
483	5.206790567
484	5.206472941
485	5.205900208
486	5.205457145
487	5.205228072
488	5.204829214
489	5.204529564
490	5.20428213
491	5.203927252
492	5.2036492
493	5.203313034
494	5.202858017
495	5.202585522
496	5.202559008
497	5.202213816
498	5.201803517
499	5.201631452
500	5.201135679
501	5.200852609
502	5.200362973
503	5.199833915
504	5.199713777
505	5.19955146
506	5.199161086
507	5.198819369
508	5.198393863
509	5.198201018
510	5.197860022
511	5.197565759
512	5.197515207
513	5.19721789
514	5.197103664
515	5.197027437
516	5.196706639
517	5.196605092
518	5.196300808
519	5.19602804
520	5.195697602
521	5.195644673
522	5.195437385
523	5.195158461
524	5.194799995
525	5.194426031
526	5.194263268
527	5.19389066
528	5.193834467
529	5.193764068
530	5.193384301
531	5.193068823
532	5.192888565
533	5.192543576
534	5.192182826
535	5.191646685
536	5.191366115
537	5.191255568
538	5.19119431
539	5.191111781
540	5.190920531
541	5.190827575
542	5.190722861
543	5.190468618
544	5.190458744
545	5.190012554
546	5.18978879
547	5.189385047
548	5.189104918
549	5.189096584
550	5.18882958
551	5.18851667
552	5.18819504
553	5.187838046
554	5.187471726
555	5.187323263
556	5.186866246
557	5.186396717
558	5.186363039
559	5.186179533
560	5.18574967
561	5.185377828
562	5.18520568
563	5.185032999
564	5.184961017
565	5.18470042
566	5.184490529
567	5.184077778
568	5.183654031
569	5.1832006
570	5.182921886
571	5.182723608
572	5.182550853
573	5.182507942
574	5.182255427
575	5.181996968
576	5.181884015
577	5.18167049
578	5.181404282
579	5.181369596
580	5.180866154
581	5.180589391
582	5.180120407
583	5.179958817
584	5.179937529
585	5.179390072
586	5.178980988
587	5.178492223
588	5.178418799
589	5.178101053
590	5.177649422
591	5.177263255
592	5.176941101
593	5.176529859
594	5.176309262
595	5.176072384
596	5.175621486
597	5.175587493
598	5.175451147
599	5.175443249
600	5.175425738
601	5.175085567
602	5.174749155
603	5.17443696
604	5.174368415
605	5.174172539
606	5.173844963
607	5.173681516
608	5.173628837
609	5.173602816
610	5.173305817
611	5.173230134
612	5.172927657
613	5.172668841
614	5.172434761
615	5.172140076
616	5.172136682
617	5.171799313
618	5.171754763
619	5.171494157
620	5.171474852
621	5.171395135
622	5.171064234
623	5.170962081
624	5.170805742
625	5.170317618
626	5.170149673
627	5.170120976
628	5.169754425
629	5.169660796
630	5.169518998
631	5.169207255
632	5.168902157
633	5.168554188
634	5.168266383
635	5.168065005
636	5.167968961
637	5.167943642
638	5.167824412
639	5.167478144
640	5.167077154
641	5.167001068
642	5.166750525
643	5.166437739
644	5.166374693
645	5.16605878
646	5.165634214
647	5.165629929
648	5.16531284
649	5.164982285
650	5.164938012
651	5.164830087
652	5.164789172
653	5.164669069
654	5.164393319
655	5.163952719
656	5.163762518
657	5.163509613
658	5.163238568
659	5.16290651
660	5.162767422
661	5.162469378
662	5.162313821
663	5.162257338
664	5.161944209
665	5.161938072
666	5.161632021
667	5.16119043
668	5.160779934
669	5.160494186
670	5.160272611
671	5.160096905
672	5.160004122
673	5.159747722
674	5.15946139
675	5.159329972
676	5.158985222
677	5.158972059
678	5.158674683
679	5.158346752
680	5.15802798
681	5.157682191
682	5.157445415
683	5.156956893
684	5.156888778
685	5.156350712
686	5.15599469
687	5.155654155
688	5.155516917
689	5.155398079
690	5.1552141
691	5.155136563
692	5.155123683
693	5.154694318
694	5.154216802
695	5.153994979
696	5.153963216
697	5.153692103
698	5.153690886
699	5.153101421
700	5.152502492
701	5.152415748
702	5.15217659
703	5.151855328
704	5.151727442
705	5.151427399
706	5.151278699
707	5.151270583
708	5.151002953
709	5.1509124
710	5.150669486
711	5.150662238
712	5.150584179
713	5.150364155
714	5.150093382
715	5.149892397
716	5.149877169
717	5.149547296
718	5.149166441
719	5.148819798
720	5.148766994
721	5.14857249
722	5.148300452
723	5.148060785
724	5.1477622
725	5.147580265
726	5.147457193
727	5.146974728
728	5.146697009
729	5.14648961
730	5.145909605
731	5.145675756
732	5.145273401
733	5.1450915
734	5.144785027
735	5.144582667
736	5.144426225
737	5.144056732
738	5.143596182
739	5.142817649
740	5.142453899
741	5.142170353
742	5.141996652
743	5.141526236
744	5.141414377
745	5.141009632
746	5.140905866
747	5.140615244
748	5.140413313
749	5.140084804
750	5.139780852
751	5.139578904
752	5.139281194
753	5.139157936
754	5.138897873
755	5.138837557
756	5.138479144
757	5.138274
758	5.137939623
759	5.137376871
760	5.137204539
761	5.136962284
762	5.136823667
763	5.136649685
764	5.136259236
765	5.136250789
766	5.135857315
767	5.135757105
768	5.135666489
769	5.135661834
770	5.135468894
771	5.13536006
772	5.135303969
773	5.134958362
774	5.134839241
775	5.134589321
776	5.134234779
777	5.133875726
778	5.13366773
779	5.133575336
780	5.133128007
781	5.132960114
782	5.132809362
783	5.132805968
784	5.13263913
785	5.13248693
786	5.132090651
787	5.131916049
788	5.131798119
789	5.131625368
790	5.13139936
791	5.13095162
792	5.130897223
793	5.130769121
794	5.130627535
795	5.130226523
796	5.129972515
797	5.129871776
798	5.129549334
799	5.129355713
800	5.129323843
801	5.128928292
802	5.128527807
803	5.128420803
804	5.12831017
805	5.128075349
806	5.127804261
807	5.12765337
808	5.127482052
809	5.127229156
810	5.126920214
811	5.126811427
812	5.126802774
813	5.126730446
814	5.126488194
815	5.126335218
816	5.126232318
817	5.125971158
818	5.125744438
819	5.125606391
820	5.125422044
821	5.125045591
822	5.124762619
823	5.124343607
824	5.124066858
825	5.123930567
826	5.123571768
827	5.123500913
828	5.123331774
829	5.123309623
830	5.123154683
831	5.122897572
832	5.122847683
833	5.122844717
834	5.122500335
835	5.12232881
836	5.122325154
837	5.12223201
838	5.121936264
839	5.121842825
840	5.121555861
841	5.121502466
842	5.121057566
843	5.12088521
844	5.120456964
845	5.120453531
846	5.119987178
847	5.119979419
848	5.119976435
849	5.119606321
850	5.119579734
851	5.119509603
852	5.119310864
853	5.118999812
854	5.118997345
855	5.11888025
856	5.118850506
857	5.118822022
858	5.118471474
859	5.118383119
860	5.118304114
861	5.118019262
862	5.117703797
863	5.117439596
864	5.117135559
865	5.116943379
866	5.116535972
867	5.11634763
868	5.116022731
869	5.115845335
870	5.115618592
871	5.115350732
872	5.115261749
873	5.114854947
874	5.114704981
875	5.114410853
876	5.114353659
877	5.114025236
878	5.113762073
879	5.113369167
880	5.113291353
881	5.112947758
882	5.112446673
883	5.112246816
884	5.112139651
885	5.112106329
886	5.11208145
887	5.111567165
888	5.111302102
889	5.111301073
890	5.110987597
891	5.110625466
892	5.110483658
893	5.110405878
894	5.110385416
895	5.110157688
896	5.109841621
897	5.10946582
898	5.109340271
899	5.109051703
900	5.109044761
901	5.108995301
902	5.108692634
903	5.108653743
904	5.108529927
905	5.108467802
906	5.108267544
907	5.108182103
908	5.108006007
909	5.107402068
910	5.107284732
911	5.107175932
912	5.107152328
913	5.10698878
914	5.10664522
915	5.106529577
916	5.106426936
917	5.10632808
918	5.106286719
919	5.106164791
920	5.105964196
921	5.10567165
922	5.105404811
923	5.105090725
924	5.1047829
925	5.104634302
926	5.104296527
927	5.104181366
928	5.104179793
929	5.104066488
930	5.103672133
931	5.103359252
932	5.102952298
933	5.102646398
934	5.102440616
935	5.102301416
936	5.102113165
937	5.101841915
938	5.101578879
939	5.101406204
940	5.101156532
941	5.101134665
942	5.101018264
943	5.100829324
944	5.100755618
945	5.100318922
946	5.100160424
947	5.099904367
948	5.099627697
949	5.099616429
950	5.099417618
951	5.099383297
952	5.09882913
953	5.098269511
954	5.098047265
955	5.097857679
956	5.097825025
957	5.097744334
958	5.097645433
959	5.097339837
960	5.097045987
961	5.096817582
962	5.096801392
963	5.096792266
964	5.096454542
965	5.096286483
966	5.096202418
967	5.096155232
968	5.096107495
969	5.095781345
970	5.095734664
971	5.095338033
972	5.095257952
973	5.095096826
974	5.094723295
975	5.094332577
976	5.094269511
977	5.094209685
978	5.09413305
979	5.094074299
980	5.093984154
981	5.093877797
982	5.093867475
983	5.093840634
984	5.093778304
985	5.093504381
986	5.093103977
987	5.093102772
988	5.093049215
989	5.092954327
990	5.092574144
991	5.092485801
992	5.09243871
993	5.092358975
994	5.092154459
995	5.091965934
996	5.091636242
997	5.091558966
998	5.091456579
999	5.091104291
